state,Y85_larger,R5_14,R15_24,R25_34,R35_44,R45_54,R55_64,R65_74,R75_84,R85_larger
Alabama,29152,0.07611436979213702,0.1586888330397706,0.15670596907642642,0.14483448274343008,0.15580778211697527,0.1592128162223823,0.11682108384979084,0.024680072902433646,0.0071345902566538645
Alaska,0,0,0.15999202290565662,0.3424879987464566,0.13862195695218016,0.1363513340265808,0.13994387544336975,0.08260281192575604,0,0
Arizona,55450,0.07725202881009544,0.15734587987856902,0.15805439261361007,0.14198033029755883,0.1401754003055616,0.13992556069234177,0.1159760114287982,0.06012189395292235,0.009168502020542736
Arkansas,20144,0,0.17468459822089533,0.17220771665310944,0.15949758669520944,0.16314454223849478,0.16628201264916592,0.12650428751334677,0.028907402601248196,0.008771853428530122
California,732793,0.13643903678766625,0.14381283869425557,0.1625187170478784,0.14091574994725503,0.13928688789520288,0.12849480671056415,0.08622117709524367,0.042540376213336846,0.01977040960859719
Colorado,31308,0.07679998855684335,0.15435997941073212,0.18314561858570577,0.1598200900180966,0.15042975994823654,0.14860958284435224,0.10080495455026396,0.019444321154715474,0.00658570493105393
Connecticut,31375,0,0.17453939739026947,0.15719321440337972,0.14959645184794867,0.18129923147672047,0.18066295351172001,0.11970483496938399,0.025900901299415496,0.01110301510116218
Delaware,0,0,0.20161760033887535,0.21444787143916128,0.17776726146351796,0.1995492693000106,0.20661799745843482,0,0,0
Florida,555552,0.06366307745845329,0.13221059038207822,0.14663357554309273,0.13461340543364575,0.14797845266794377,0.14957129401879599,0.12523936326764457,0.07038842542769953,0.02970181580064617
Georgia,47261,0.0823538323416645,0.1647609060910684,0.16604532648979398,0.15623565423978697,0.1621333397923768,0.1443644198411761,0.09949962216880817,0.01920723772379957,0.005399661311525531
Hawaii,0,0,0.12699823605893054,0.2851014611173835,0.12567597037462355,0.24156469026133381,0.1239755201417778,0.0966841220459508,0,0
