state,suicide_rate_per100000
Alabama,17.129094084267347
Alaska,27.034516318709912
Arizona,18.884678041181427
Arkansas,21.003375518718467
California,10.875983862366903
Colorado,21.008875447330322
Connecticut,11.287046595157884
Delaware,11.643149929465382
District of Columbia,6.772607540361859
Florida,15.339966832504146
Georgia,13.903032961022895
Hawaii,15.901503147376813
Idaho,22.831276285817292
Illinois,11.498182748148476
Indiana,16.379628182440257
Iowa,15.195292892449434
Kansas,18.948736459119647
Kentucky,17.197294501872282
Louisiana,15.370384641740884
Maine,20.510409781519222
Maryland,10.409477449188945
Massachusetts,9.941953278942199
Michigan,14.61508278551031
Minnesota,13.951138021943812
Mississippi,14.845347005797393
Missouri,18.82708718953299
Montana,29.60514729750698
Nebraska,14.322349740322778
Nevada,20.91367056932882
New Hampshire,19.734955819764
New Jersey,8.827797323545102
New Mexico,23.514537347885845
New York,8.544339302162246
North Carolina,14.805197763276276
North Dakota,20.386739088130284
Ohio,14.907438786222267
Oklahoma,19.232413026754422
Oregon,19.89004474294531
Pennsylvania,15.844708425738023
Rhode Island,12.173957357175416
South Carolina,16.67871129688126
South Dakota,21.962454551517478
Tennessee,17.346676227936218
Texas,13.315858668323688
Utah,21.374458263871716
Vermont,17.79824486857359
Virginia,13.884264736092712
Washington,17.472926079125347
West Virginia,21.587602988561326
Wisconsin,15.960705949788826
Wyoming,27.10097270051699
