state,less_than_bachelors,at_least_bachelors,advanced_degree,bachelors_degree,associates_or_some_college,hs_or_less
Alabama,0.754755256685437,0.24524474331456309,0.09144986155011983,0.15379488176444323,0.2989189830915051,0.4558362735939318
Alaska,0.7101202670357267,0.2898797329642732,0.10414098880620559,0.18573874415806765,0.3578796151791386,0.3522406518565882
Arizona,0.7155431310788444,0.2844568689211556,0.10677664173775374,0.17768022718340187,0.33889962191456263,0.37664350916428174
Arkansas,0.7797186985401129,0.22028130145988709,0.07893713773498441,0.1413441637249027,0.29245028376901655,0.48726841477109634
California,0.6742402879169358,0.3257597120830642,0.12183612092690103,0.20392359115616318,0.2931705274184421,0.3810697604984937
Colorado,0.6057020392931454,0.39429796070685463,0.14629477028205437,0.24800319042480026,0.30129724133475555,0.3044047979583898
Connecticut,0.6156915885476618,0.3843084114523382,0.1697957946165318,0.21451261683580636,0.24634791720507665,0.36934367134258517
Delaware,0.690319857568223,0.309680142431777,0.12937194953494796,0.18030819289682906,0.27165177886238756,0.4186680787058354
District of Columbia,0.4340756273504059,0.5659243726495942,0.327708054737644,0.23821631791195017,0.16073061654141632,0.27334501080898954
Florida,0.7154876894840576,0.28451231051594233,0.10276932600892494,0.1817429845070174,0.3016374056634639,0.41385028382059375
Georgia,0.7006897101896583,0.29931028981034163,0.11376692492454987,0.18554336488579176,0.2828615503301102,0.4178281598595482
Hawaii,0.679626544213264,0.32037345578673604,0.10794558680104031,0.2124278689856957,0.31833956436931077,0.3612869798439532
Idaho,0.7323406360384225,0.26765936396157747,0.08526883648279895,0.18239052747877854,0.36052784486812794,0.37181279117029453
Illinois,0.6655253200438168,0.3344746799561832,0.1295000887944825,0.2049745911617007,0.28785186472451957,0.37767345531929725
Indiana,0.7468084663267766,0.2531915336732235,0.09188042159072159,0.1613111120825019,0.2923657914918831,0.4544426748348934
Iowa,0.7231872311904654,0.27681276880953465,0.08968554785160311,0.18712722095793152,0.32646135187440095,0.3967258793160644
