State,Suicide rate,Female proportion,Male proportion,Female Suicide rate,Male Suicide rate,Age 5-14,Age 15-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65-74,Age 75-84,Age >85,Alcohol consumption,Marijuana usage,Advanced degree,Bachelors degree,College,Below college degree,GDP,Guns number per capita(average),Guns number registered(average),Precipitation,Temperature
Alabama,17.129094084267347,0.5159059536833399,0.48409404631666014,5.964425778884422,29.02744088996015,0.07611436979213702,0.1586888330397706,0.15670596907642642,0.14483448274343008,0.15580778211697527,0.1592128162223823,0.11682108384979084,0.024680072902433646,0.0071345902566538645,1.99,0.1063,0.09144986155011983,0.15379488176444323,0.2989189830915051,0.4558362735939318,"36,856",33.15,"161,641",56,62.36695652173913
Alaska,27.034516318709912,0.4771632682026778,0.5228367317973223,11.614632170264843,41.107365198866574,0,0.15999202290565662,0.3424879987464566,0.13862195695218016,0.1363513340265808,0.13994387544336975,0.08260281192575604,0,0,2.81,0.2343,0.10414098880620559,0.18573874415806765,0.3578796151791386,0.3522406518565882,"67,705",21.38,"15,824",55,37.716
Arizona,18.884678041181427,0.5028268581454248,0.4971731418545752,8.786925281939835,29.09725966881872,0.07725202881009544,0.15734587987856902,0.15805439261361007,0.14198033029755883,0.1401754003055616,0.13992556069234177,0.1159760114287982,0.06012189395292235,0.009168502020542736,2.3,0.1414,0.10677664173775374,0.17768022718340187,0.33889962191456263,0.37664350916428174,"38,414",25.61,"179,738",13,63.374545454545455
Arkansas,21.003375518718467,0.5086794535394349,0.49132054646056506,9.553629561285552,32.857653868666944,0,0.17468459822089533,0.17220771665310944,0.15949758669520944,0.16314454223849478,0.16628201264916592,0.12650428751334677,0.028907402601248196,0.008771853428530122,1.82,0.1278,0.07893713773498441,0.1413441637249027,0.29245028376901655,0.48726841477109634,"36,196",26.57,"79,841",49,60.80842105263158
California,10.875983862366903,0.5030547224116315,0.49694527758836843,4.801625010684244,17.025020876645556,0.13643903678766625,0.14381283869425557,0.1625187170478784,0.14091574994725503,0.13928688789520288,0.12849480671056415,0.08622117709524367,0.042540376213336846,0.01977040960859719,2.3,0.17809999999999998,0.12183612092690103,0.20392359115616318,0.2931705274184421,0.3810697604984937,"57,328",8.71,"344,622",22,59.457142857142856
Colorado,21.008875447330322,0.49665498753913306,0.5033450124608669,9.982688294867067,31.88851209265526,0.07679998855684335,0.15435997941073212,0.18314561858570577,0.1598200900180966,0.15042975994823654,0.14860958284435224,0.10080495455026396,0.019444321154715474,0.00658570493105393,2.85,0.2565,0.14629477028205437,0.24800319042480026,0.30129724133475555,0.3044047979583898,"52,622",16.48,"92,435",15,45.96857142857143
Connecticut,11.287046595157884,0.51178646357043,0.48821353642956994,5.282119643821772,17.58191574380637,0,0.17453939739026947,0.15719321440337972,0.14959645184794867,0.18129923147672047,0.18066295351172001,0.11970483496938399,0.025900901299415496,0.01110301510116218,2.4,0.1637,0.1697957946165318,0.21451261683580636,0.24634791720507665,0.36934367134258517,"63,747",22.96,"82,400",47,48.68833333333333
Delaware,11.643149929465382,0.5160670271191833,0.48393297288081677,2.8201641738429775,21.05199843613726,0,0.20161760033887535,0.21444787143916128,0.17776726146351796,0.1995492693000106,0.20661799745843482,0,0,0,3.6,0.1492,0.12937194953494796,0.18030819289682906,0.27165177886238756,0.4186680787058354,"64,040",5.04,"4,852",45,55.785
District of Columbia,6.772607540361859,0.5256307170894503,0.4743692829105497,3.2897171665666045,10.63186704698374,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81,0.2701,0.327708054737644,0.23821631791195017,0.16073061654141632,0.27334501080898954,NA,NA,NA,NA,NA
Florida,15.339966832504146,0.5112169516402661,0.4887830483597339,6.823532723733337,24.247283685126938,0.06366307745845329,0.13221059038207822,0.14663357554309273,0.13461340543364575,0.14797845266794377,0.14957129401879599,0.12523936326764457,0.07038842542769953,0.02970181580064617,2.63,0.1371,0.10276932600892494,0.1817429845070174,0.3016374056634639,0.41385028382059375,"39,093",16.35,"343,288",54,71.20533333333333
